Policy_ID,Customer_ID,Married_Premium_Discount,Prior_Insurance,Prior_Insurance_Premium_Adjustment,Policy_Type,Policy_Adjustment,Premium_Amount,Total_Discounts,Time_Since_First_Contact,Conversion_Status,Website_Visits,Inquiries,Quotes_Requested,Time_to_Conversion,Premium_Adjustment_Credit,Premium_Adjustment_Region
P1589,1589,86,1-5 years,50,Full Coverage,0,2336,0,15,0,2,3,2,99,-50,0
P1590,1590,0,1-5 years,50,Liability-Only,-200,2200,0,28,1,2,2,1,10,50,100
P1591,1591,86,1-5 years,50,Full Coverage,0,2436,50,25,1,6,1,1,14,50,100
P1592,1592,86,<1 year,100,Liability-Only,-200,2236,50,23,0,2,1,2,99,50,100
P1593,1593,86,>5 years,0,Full Coverage,0,2236,0,25,1,5,5,1,7,-50,50
P1594,1594,0,<1 year,100,Full Coverage,0,2250,50,5,1,7,1,1,6,-50,100
P1595,1595,86,<1 year,100,Liability-Only,-200,2186,0,9,0,3,1,2,99,50,0
P1596,1596,0,1-5 years,50,Full Coverage,0,2250,0,13,1,2,1,3,3,-50,0
P1597,1597,0,>5 years,0,Full Coverage,0,2200,0,6,0,3,3,2,99,-50,100
P1598,1598,86,>5 years,0,Liability-Only,-200,1936,100,1,1,6,1,2,10,-50,50
P1599,1599,0,1-5 years,50,Full Coverage,0,2300,50,8,0,4,1,1,99,50,100
P1600,1600,86,1-5 years,50,Liability-Only,-200,2086,50,24,1,6,4,1,6,50,0
P1601,1601,0,>5 years,0,Full Coverage,0,2100,0,30,0,3,3,1,99,-50,0
P1602,1602,86,1-5 years,50,Liability-Only,-200,2136,0,23,1,2,3,3,8,-50,50
P1603,1603,0,1-5 years,50,Full Coverage,0,2200,50,15,1,3,2,3,8,-50,100
P1604,1604,86,1-5 years,50,Liability-Only,-200,2186,0,5,0,6,3,1,99,-50,100
P1605,1605,86,>5 years,0,Liability-Only,-200,2136,0,29,1,7,2,1,11,50,0
P1606,1606,86,>5 years,0,Full Coverage,0,2236,50,22,1,9,2,2,13,-50,50
P1607,1607,86,1-5 years,50,Liability-Only,-200,2486,50,5,0,5,0,3,99,-50,100
P1608,1608,86,>5 years,0,Full Coverage,0,2286,0,17,0,5,2,1,99,50,0
P1609,1609,86,1-5 years,50,Liability-Only,-200,2236,0,18,1,5,1,3,8,50,100
P1610,1610,86,>5 years,0,Full Coverage,0,2336,0,13,1,4,1,1,1,50,50
P1611,1611,0,1-5 years,50,Full Coverage,0,2200,100,22,1,4,1,1,7,-50,100
P1612,1612,0,<1 year,100,Full Coverage,0,2250,0,7,0,9,3,2,99,-50,0
P1613,1613,0,<1 year,100,Full Coverage,0,2350,0,1,0,2,1,1,99,50,50
P1614,1614,0,<1 year,100,Full Coverage,0,2550,50,26,0,2,0,3,99,50,100
P1615,1615,0,<1 year,100,Full Coverage,0,2200,0,24,1,7,2,1,14,-50,0
P1616,1616,0,>5 years,0,Full Coverage,0,2450,50,22,1,6,2,3,2,-50,0
P1617,1617,86,1-5 years,50,Liability-Only,-200,1986,50,16,1,9,2,2,1,-50,0
P1618,1618,0,>5 years,0,Liability-Only,-200,2000,50,5,1,5,5,2,6,-50,50
P1619,1619,86,1-5 years,50,Full Coverage,0,2436,0,16,0,3,1,1,99,50,100
P1620,1620,0,1-5 years,50,Liability-Only,-200,2050,0,26,1,9,1,2,2,-50,100
P1621,1621,0,1-5 years,50,Liability-Only,-200,2150,50,3,1,5,4,1,8,50,100
P1622,1622,86,<1 year,100,Full Coverage,0,2536,0,21,0,2,2,2,99,50,100
P1623,1623,0,1-5 years,50,Full Coverage,0,2200,50,21,0,4,0,3,99,-50,0
P1624,1624,86,>5 years,0,Liability-Only,-200,2036,50,25,1,3,3,1,13,50,0
P1625,1625,86,>5 years,0,Full Coverage,0,2286,0,11,0,5,2,3,99,-50,50
P1626,1626,86,<1 year,100,Liability-Only,-200,2186,0,9,1,4,2,3,10,-50,100
P1627,1627,0,<1 year,100,Full Coverage,0,2300,0,24,1,4,5,2,12,-50,100
P1628,1628,0,>5 years,0,Liability-Only,-200,1950,0,12,1,0,0,3,2,-50,50
P1629,1629,0,>5 years,0,Liability-Only,-200,2050,0,15,0,3,0,1,99,50,50
P1630,1630,86,1-5 years,50,Full Coverage,0,2436,50,23,0,8,2,2,99,-50,100
P1631,1631,0,1-5 years,50,Full Coverage,0,2200,50,30,0,4,2,2,99,-50,100
P1632,1632,0,1-5 years,50,Liability-Only,-200,2050,50,11,1,6,3,1,8,50,50
P1633,1633,86,1-5 years,50,Full Coverage,0,2336,0,30,0,5,0,2,99,-50,50
P1634,1634,0,1-5 years,50,Full Coverage,0,2200,0,13,1,3,2,3,8,-50,0
P1635,1635,86,1-5 years,50,Liability-Only,-200,1986,50,30,0,6,2,1,99,-50,0
P1636,1636,86,1-5 years,50,Liability-Only,-200,2136,0,23,0,2,1,3,99,-50,100
P1637,1637,86,1-5 years,50,Full Coverage,0,2436,50,6,0,8,3,2,99,50,100
P1638,1638,0,>5 years,0,Liability-Only,-200,1900,50,29,1,9,2,3,9,-50,50
P1639,1639,86,>5 years,0,Full Coverage,0,2336,50,14,1,11,1,2,1,-50,100
P1640,1640,86,>5 years,0,Full Coverage,0,2086,100,5,1,5,0,1,2,-50,0
P1641,1641,86,>5 years,0,Full Coverage,0,2286,0,19,0,5,0,1,99,-50,100
P1642,1642,86,1-5 years,50,Full Coverage,0,2336,0,16,0,5,8,1,99,50,0
P1643,1643,86,>5 years,0,Full Coverage,0,2386,50,13,1,3,4,3,1,50,100
P1644,1644,86,>5 years,0,Liability-Only,-200,2036,0,14,1,5,1,3,4,-50,0
P1645,1645,0,>5 years,0,Full Coverage,0,2100,50,30,1,10,1,2,10,-50,50
P1646,1646,86,1-5 years,50,Full Coverage,0,2386,0,4,0,5,4,1,99,-50,50
P1647,1647,0,1-5 years,50,Liability-Only,-200,2200,50,6,1,8,2,1,3,50,100
P1648,1648,0,<1 year,100,Liability-Only,-200,2200,0,7,0,8,2,2,99,50,100
P1649,1649,86,<1 year,100,Full Coverage,0,2286,0,18,0,4,2,1,99,-50,0
P1650,1650,86,>5 years,0,Full Coverage,0,2336,50,19,0,4,0,3,99,50,50
P1651,1651,0,1-5 years,50,Liability-Only,-200,2150,0,7,1,4,2,1,7,50,100
P1652,1652,86,>5 years,0,Full Coverage,0,2136,50,10,1,1,3,3,8,-50,0
P1653,1653,86,1-5 years,50,Full Coverage,0,2436,0,23,0,5,1,3,99,50,50
P1654,1654,86,1-5 years,50,Liability-Only,-200,2136,0,24,1,5,4,2,5,-50,100
P1655,1655,0,<1 year,100,Full Coverage,0,2350,100,25,0,4,5,1,99,50,50
P1656,1656,0,1-5 years,50,Liability-Only,-200,2050,0,25,0,5,1,2,99,-50,100
P1657,1657,0,1-5 years,50,Liability-Only,-200,2000,50,27,1,2,2,1,1,-50,50
P1658,1658,0,1-5 years,50,Liability-Only,-200,2050,50,29,0,4,2,2,99,50,50
P1659,1659,86,<1 year,100,Full Coverage,0,2486,0,17,0,5,3,3,99,50,100
P1660,1660,86,>5 years,0,Liability-Only,-200,2036,50,1,1,2,1,2,4,-50,100
P1661,1661,86,1-5 years,50,Full Coverage,0,2236,50,6,1,8,0,3,5,-50,50
P1662,1662,86,>5 years,0,Full Coverage,0,2386,0,12,1,8,4,3,8,-50,0
P1663,1663,86,<1 year,100,Full Coverage,0,2436,0,17,0,6,4,3,99,-50,100
P1664,1664,86,1-5 years,50,Full Coverage,0,2386,100,25,0,4,1,1,99,50,50
P1665,1665,86,1-5 years,50,Full Coverage,0,2336,0,17,0,6,0,1,99,-50,50
P1666,1666,86,>5 years,0,Full Coverage,0,2236,50,5,1,9,2,2,11,-50,0
P1667,1667,86,1-5 years,50,Full Coverage,0,2336,0,17,0,6,0,3,99,-50,100
P1668,1668,0,1-5 years,50,Liability-Only,-200,2100,0,27,0,7,5,3,99,-50,100
P1669,1669,0,>5 years,0,Full Coverage,0,2250,0,14,1,5,4,1,8,50,50
P1670,1670,0,<1 year,100,Full Coverage,0,2400,0,21,1,4,1,3,7,50,50
P1671,1671,86,<1 year,100,Full Coverage,0,2336,50,4,0,6,0,2,99,-50,100
P1672,1672,86,>5 years,0,Liability-Only,-200,2036,50,22,0,5,0,1,99,-50,100
P1673,1673,86,1-5 years,50,Full Coverage,0,2186,50,24,1,5,3,1,6,-50,0
P1674,1674,86,1-5 years,50,Liability-Only,-200,2086,0,25,0,1,5,2,99,-50,0
P1675,1675,86,1-5 years,50,Liability-Only,-200,2136,50,5,1,6,1,3,10,-50,100
P1676,1676,0,<1 year,100,Full Coverage,0,2300,50,8,1,4,2,1,13,50,50
P1677,1677,0,<1 year,100,Full Coverage,0,2250,0,6,1,4,4,2,1,-50,50
P1678,1678,86,1-5 years,50,Liability-Only,-200,2086,100,8,1,2,2,1,10,-50,100
P1679,1679,86,>5 years,0,Liability-Only,-200,2086,0,5,0,4,1,3,99,-50,100
P1680,1680,86,1-5 years,50,Liability-Only,-200,2036,50,24,1,4,0,2,5,-50,50
P1681,1681,86,1-5 years,50,Full Coverage,0,2236,50,22,1,9,1,2,9,-50,50
P1682,1682,86,>5 years,0,Full Coverage,0,2186,0,14,1,4,2,3,11,-50,0
P1683,1683,86,1-5 years,50,Full Coverage,0,2186,50,25,0,4,2,3,99,-50,0
P1684,1684,86,>5 years,0,Full Coverage,0,2186,50,20,1,4,5,3,3,-50,0
P1685,1685,86,>5 years,0,Full Coverage,0,2286,0,1,1,9,0,2,11,-50,100
P1686,1686,86,1-5 years,50,Liability-Only,-200,2186,50,17,1,9,2,3,12,50,50
P1687,1687,86,1-5 years,50,Liability-Only,-200,2336,0,3,1,10,0,3,9,50,100
P1688,1688,86,>5 years,0,Full Coverage,0,2286,0,5,1,2,4,2,2,50,0
P1689,1689,0,>5 years,0,Full Coverage,0,2100,50,26,0,8,0,3,99,-50,50
P1690,1690,86,1-5 years,50,Liability-Only,-200,2086,0,20,0,4,2,2,99,-50,50
P1691,1691,0,<1 year,100,Full Coverage,0,2350,50,28,0,5,2,3,99,50,100
P1692,1692,0,1-5 years,50,Liability-Only,-200,2100,50,29,1,7,1,1,12,50,100
P1693,1693,0,1-5 years,50,Full Coverage,0,2200,0,26,0,4,2,3,99,-50,0
P1694,1694,0,1-5 years,50,Liability-Only,-200,2050,0,26,0,5,4,2,99,-50,100
P1695,1695,0,1-5 years,50,Full Coverage,0,2250,0,8,1,5,3,3,1,50,0
P1696,1696,0,>5 years,0,Liability-Only,-200,1950,0,8,1,5,6,1,13,-50,0
P1697,1697,86,1-5 years,50,Full Coverage,0,2336,0,18,1,6,2,2,8,-50,100
P1698,1698,86,>5 years,0,Full Coverage,0,2586,0,21,1,6,2,2,13,50,100
P1699,1699,0,<1 year,100,Full Coverage,0,2350,100,6,1,5,0,1,6,50,100
P1700,1700,0,<1 year,100,Liability-Only,-200,2300,0,9,1,6,0,3,13,-50,100
P1701,1701,0,1-5 years,50,Liability-Only,-200,2100,0,30,1,2,4,3,10,-50,100
P1702,1702,0,<1 year,100,Full Coverage,0,2200,50,12,1,5,0,1,13,-50,50
P1703,1703,0,1-5 years,50,Liability-Only,-200,2000,50,18,1,3,0,2,11,-50,100
P1704,1704,0,>5 years,0,Full Coverage,0,2100,50,30,1,6,3,1,9,-50,50
P1705,1705,0,1-5 years,50,Full Coverage,0,2150,0,25,1,7,3,3,14,-50,0
P1706,1706,0,>5 years,0,Liability-Only,-200,2050,0,20,1,7,2,2,8,-50,100
P1707,1707,0,1-5 years,50,Liability-Only,-200,2050,0,28,1,1,1,3,13,50,0
P1708,1708,0,<1 year,100,Liability-Only,-200,2100,0,23,0,4,1,1,99,-50,100
P1709,1709,0,1-5 years,50,Liability-Only,-200,2150,0,27,1,8,1,1,3,50,50
P1710,1710,0,>5 years,0,Full Coverage,0,2050,50,10,1,6,3,1,2,-50,0
P1711,1711,86,1-5 years,50,Full Coverage,0,2486,50,24,1,4,3,1,13,50,100
P1712,1712,86,1-5 years,50,Full Coverage,0,2386,0,13,1,7,2,1,4,50,0
P1713,1713,0,<1 year,100,Full Coverage,0,2400,0,9,0,9,1,1,99,50,50
P1714,1714,0,>5 years,0,Full Coverage,0,2250,50,2,0,4,1,3,99,50,100
P1715,1715,86,<1 year,100,Full Coverage,0,2386,100,23,0,4,1,2,99,50,100
P1716,1716,86,>5 years,0,Liability-Only,-200,1986,0,5,1,5,2,2,10,-50,0
P1717,1717,0,1-5 years,50,Liability-Only,-200,2000,0,1,1,7,2,2,4,-50,50
P1718,1718,0,>5 years,0,Liability-Only,-200,2050,0,1,1,4,0,1,14,50,50
P1719,1719,0,1-5 years,50,Full Coverage,0,2250,0,24,1,8,7,3,11,-50,100
P1720,1720,0,<1 year,100,Full Coverage,0,2300,0,5,1,6,1,1,7,-50,100
P1721,1721,86,1-5 years,50,Full Coverage,0,2286,50,29,1,8,5,3,2,-50,0
P1722,1722,86,1-5 years,50,Liability-Only,-200,2236,50,26,1,6,4,3,5,50,100
P1723,1723,86,1-5 years,50,Liability-Only,-200,2186,0,12,0,3,3,2,99,-50,100
P1724,1724,0,>5 years,0,Liability-Only,-200,2100,0,9,0,7,2,2,99,-50,100
P1725,1725,86,>5 years,0,Liability-Only,-200,2036,0,28,0,5,1,3,99,-50,50
P1726,1726,0,1-5 years,50,Liability-Only,-200,2000,50,18,0,3,2,1,99,-50,100
P1727,1727,0,1-5 years,50,Liability-Only,-200,2100,50,4,0,5,2,2,99,50,100
P1728,1728,0,1-5 years,50,Liability-Only,-200,2050,0,30,0,5,4,3,99,-50,100
P1729,1729,0,1-5 years,50,Liability-Only,-200,2100,50,10,0,2,4,3,99,50,50
P1730,1730,86,>5 years,0,Liability-Only,-200,1886,150,22,0,3,3,1,99,-50,50
P1731,1731,0,1-5 years,50,Full Coverage,0,2150,50,22,0,8,2,3,99,-50,50
P1732,1732,86,1-5 years,50,Full Coverage,0,2336,50,6,1,9,2,3,14,50,50
P1733,1733,86,1-5 years,50,Full Coverage,0,2336,50,21,1,5,1,2,9,-50,50
P1734,1734,86,1-5 years,50,Full Coverage,0,2286,0,7,0,9,2,2,99,-50,50
P1735,1735,86,1-5 years,50,Full Coverage,0,2386,0,27,0,2,4,1,99,50,0
P1736,1736,0,1-5 years,50,Liability-Only,-200,1950,0,7,0,5,1,2,99,-50,0
P1737,1737,0,<1 year,100,Liability-Only,-200,2050,50,5,0,3,3,3,99,-50,50
P1738,1738,86,<1 year,100,Full Coverage,0,2286,50,26,1,5,2,2,4,-50,50
P1739,1739,86,1-5 years,50,Liability-Only,-200,2186,50,3,1,7,4,2,9,50,100
P1740,1740,0,1-5 years,50,Full Coverage,0,2350,0,15,1,6,2,2,10,50,0
P1741,1741,0,<1 year,100,Full Coverage,0,2300,0,9,0,4,1,1,99,-50,100
P1742,1742,86,>5 years,0,Full Coverage,0,2336,50,16,0,9,2,1,99,-50,100
P1743,1743,0,1-5 years,50,Full Coverage,0,2150,0,23,1,3,0,2,6,-50,0
P1744,1744,0,>5 years,0,Full Coverage,0,2300,0,18,0,7,1,3,99,50,100
P1745,1745,0,<1 year,100,Full Coverage,0,2250,50,19,1,4,5,1,8,-50,100
P1746,1746,86,<1 year,100,Full Coverage,0,2286,100,12,1,1,0,3,11,-50,100
P1747,1747,0,1-5 years,50,Full Coverage,0,2300,0,27,1,6,5,3,3,50,0
P1748,1748,0,<1 year,100,Liability-Only,-200,2050,0,14,0,3,1,1,99,-50,50
P1749,1749,0,>5 years,0,Liability-Only,-200,1950,50,25,1,9,0,2,11,-50,100
P1750,1750,0,<1 year,100,Full Coverage,0,2300,0,13,0,4,4,3,99,-50,100
P1751,1751,0,1-5 years,50,Liability-Only,-200,2200,0,30,1,6,2,3,13,50,100
P1752,1752,86,>5 years,0,Full Coverage,0,2286,50,30,0,6,0,2,99,-50,100
P1753,1753,0,1-5 years,50,Liability-Only,-200,2050,150,4,1,6,2,2,7,50,100
P1754,1754,0,<1 year,100,Liability-Only,-200,1950,50,21,1,5,2,1,10,-50,0
P1755,1755,0,1-5 years,50,Full Coverage,0,2400,50,17,1,4,6,2,12,-50,100
P1756,1756,86,1-5 years,50,Full Coverage,0,2186,100,20,1,3,0,3,10,-50,50
P1757,1757,86,<1 year,100,Liability-Only,-200,2236,0,9,1,5,1,2,14,50,50
P1758,1758,0,1-5 years,50,Liability-Only,-200,1850,100,9,0,4,1,3,99,-50,0
P1759,1759,0,>5 years,0,Full Coverage,0,2200,100,2,1,4,0,1,5,50,100
P1760,1760,86,>5 years,0,Full Coverage,0,2436,0,12,1,3,0,1,11,50,50
P1761,1761,0,<1 year,100,Full Coverage,0,2250,100,18,1,5,0,1,5,-50,100
P1762,1762,86,<1 year,100,Full Coverage,0,2286,100,25,1,5,4,2,6,50,0
P1763,1763,0,1-5 years,50,Full Coverage,0,2300,50,18,0,5,3,3,99,50,100
P1764,1764,0,1-5 years,50,Liability-Only,-200,2150,0,22,1,5,2,3,12,50,100
P1765,1765,86,1-5 years,50,Liability-Only,-200,2136,0,5,1,7,2,2,5,-50,50
P1766,1766,0,>5 years,0,Full Coverage,0,2300,0,15,1,2,0,2,14,50,100
P1767,1767,0,>5 years,0,Liability-Only,-200,2050,50,11,1,10,2,1,14,50,100
P1768,1768,86,<1 year,100,Liability-Only,-200,2186,0,15,0,4,3,1,99,-50,100
P1769,1769,0,1-5 years,50,Full Coverage,0,2250,0,18,1,6,0,1,4,-50,100
P1770,1770,86,<1 year,100,Full Coverage,0,2336,50,23,0,3,4,3,99,-50,100
P1771,1771,0,1-5 years,50,Full Coverage,0,2250,0,13,1,8,0,2,14,-50,100
P1772,1772,86,<1 year,100,Liability-Only,-200,2286,50,15,0,8,3,1,99,-50,50
P1773,1773,86,<1 year,100,Liability-Only,-200,2086,50,25,1,2,0,1,11,-50,50
P1774,1774,86,1-5 years,50,Full Coverage,0,2286,50,2,0,4,4,2,99,-50,100
P1775,1775,86,1-5 years,50,Liability-Only,-200,2136,0,2,0,1,2,1,99,-50,50
P1776,1776,0,<1 year,100,Full Coverage,0,2300,0,21,0,3,2,2,99,50,0
P1777,1777,86,>5 years,0,Full Coverage,0,2236,0,23,1,3,3,2,8,-50,50
P1778,1778,86,1-5 years,50,Full Coverage,0,2336,50,17,0,7,2,3,99,50,50
P1779,1779,0,<1 year,100,Full Coverage,0,2200,100,29,1,5,2,1,10,-50,100
P1780,1780,86,<1 year,100,Full Coverage,0,2386,0,4,1,2,2,3,10,-50,100
P1781,1781,0,1-5 years,50,Liability-Only,-200,2150,0,9,0,5,1,1,99,50,100
P1782,1782,0,>5 years,0,Full Coverage,0,2150,50,16,1,4,0,3,12,-50,50
P1783,1783,0,1-5 years,50,Full Coverage,0,2300,50,1,0,6,3,2,99,50,100
P1784,1784,86,>5 years,0,Full Coverage,0,2586,0,7,0,5,4,2,99,50,100
P1785,1785,86,1-5 years,50,Liability-Only,-200,1986,50,29,0,3,0,2,99,-50,0
P1786,1786,86,1-5 years,50,Liability-Only,-200,2136,0,21,1,5,2,3,10,-50,100
P1787,1787,86,1-5 years,50,Full Coverage,0,2436,0,3,1,7,1,3,6,50,100
P1788,1788,86,1-5 years,50,Full Coverage,0,2386,0,21,0,2,3,3,99,50,50
P1789,1789,86,1-5 years,50,Full Coverage,0,2386,50,28,0,3,1,1,99,50,100
P1790,1790,86,>5 years,0,Full Coverage,0,2386,0,12,1,5,2,1,2,50,100
P1791,1791,0,<1 year,100,Liability-Only,-200,2050,50,5,1,3,2,2,1,-50,100
P1792,1792,0,1-5 years,50,Liability-Only,-200,2050,50,3,1,8,0,2,14,-50,50
P1793,1793,0,1-5 years,50,Full Coverage,0,2250,0,27,1,7,1,1,11,-50,100
P1794,1794,0,1-5 years,50,Full Coverage,0,2200,50,12,0,3,1,2,99,-50,100
P1795,1795,86,1-5 years,50,Full Coverage,0,2286,0,25,1,10,2,1,5,-50,0
P1796,1796,86,1-5 years,50,Full Coverage,0,2536,0,10,0,2,3,1,99,50,100
P1797,1797,0,1-5 years,50,Full Coverage,0,2050,100,14,0,3,4,3,99,-50,0
P1798,1798,86,1-5 years,50,Liability-Only,-200,2086,50,18,0,7,1,2,99,-50,100
P1799,1799,86,>5 years,0,Full Coverage,0,2336,0,30,0,4,4,1,99,50,50
P1800,1800,0,>5 years,0,Liability-Only,-200,2100,0,27,1,5,0,2,7,50,100
P1801,1801,0,1-5 years,50,Full Coverage,0,2350,0,30,1,8,1,2,14,50,100
P1802,1802,86,>5 years,0,Liability-Only,-200,1986,100,17,1,4,2,2,14,-50,100
P1803,1803,0,>5 years,0,Liability-Only,-200,2000,0,24,1,6,2,3,14,-50,100
P1804,1804,0,1-5 years,50,Full Coverage,0,2350,0,12,1,2,2,1,13,50,50
P1805,1805,86,<1 year,100,Liability-Only,-200,2236,0,11,1,12,2,1,3,50,50
P1806,1806,86,1-5 years,50,Liability-Only,-200,2036,50,19,1,5,0,3,7,-50,50
P1807,1807,86,1-5 years,50,Full Coverage,0,2486,50,18,0,6,1,1,99,50,100
P1808,1808,0,>5 years,0,Full Coverage,0,2150,0,26,0,5,0,2,99,-50,50
P1809,1809,0,<1 year,100,Liability-Only,-200,1950,100,29,1,4,5,1,8,-50,50
P1810,1810,0,>5 years,0,Liability-Only,-200,2100,50,28,0,7,4,1,99,50,100
P1811,1811,86,1-5 years,50,Liability-Only,-200,2286,50,17,0,5,2,2,99,-50,100
P1812,1812,86,1-5 years,50,Liability-Only,-200,1936,100,23,0,4,5,2,99,-50,0
P1813,1813,86,1-5 years,50,Liability-Only,-200,2136,50,7,1,2,2,3,6,-50,100
P1814,1814,0,<1 year,100,Liability-Only,-200,2100,0,20,1,6,3,1,6,-50,100
P1815,1815,86,1-5 years,50,Full Coverage,0,2286,0,21,0,5,3,1,99,-50,50
P1816,1816,86,<1 year,100,Liability-Only,-200,2336,0,14,1,6,3,1,6,50,100
P1817,1817,86,1-5 years,50,Liability-Only,-200,1936,100,12,0,4,2,2,99,-50,0
P1818,1818,86,1-5 years,50,Full Coverage,0,2236,50,26,0,1,2,2,99,-50,50
P1819,1819,86,>5 years,0,Liability-Only,-200,2086,50,16,1,1,0,1,2,-50,100
P1820,1820,0,<1 year,100,Liability-Only,-200,2050,0,12,1,2,3,2,14,-50,50
P1821,1821,86,>5 years,0,Full Coverage,0,2236,0,1,0,4,3,1,99,-50,50
P1822,1822,86,>5 years,0,Full Coverage,0,2286,50,14,0,4,0,3,99,-50,100
P1823,1823,0,>5 years,0,Liability-Only,-200,1950,50,14,1,4,2,3,12,50,0
P1824,1824,0,>5 years,0,Full Coverage,0,2350,50,14,1,6,2,2,5,50,100
P1825,1825,86,1-5 years,50,Liability-Only,-200,2136,50,19,1,6,5,3,14,50,50
P1826,1826,86,1-5 years,50,Liability-Only,-200,2136,100,1,1,3,2,2,9,50,50
P1827,1827,0,>5 years,0,Liability-Only,-200,1900,100,25,1,9,4,3,11,50,0
P1828,1828,86,>5 years,0,Full Coverage,0,2386,0,10,1,3,3,3,9,50,50
P1829,1829,0,1-5 years,50,Full Coverage,0,2200,150,17,1,8,2,1,4,50,100
P1830,1830,86,>5 years,0,Full Coverage,0,2236,0,13,1,7,1,3,11,-50,0
P1831,1831,86,1-5 years,50,Liability-Only,-200,2236,0,23,0,3,4,2,99,50,100
P1832,1832,86,<1 year,100,Full Coverage,0,2386,50,13,1,9,2,3,7,50,50
P1833,1833,0,1-5 years,50,Liability-Only,-200,1900,100,21,1,4,2,2,14,-50,50
P1834,1834,0,1-5 years,50,Full Coverage,0,2450,0,4,0,5,1,1,99,50,100
P1835,1835,86,1-5 years,50,Liability-Only,-200,2086,50,28,1,9,3,2,7,-50,0
P1836,1836,0,<1 year,100,Liability-Only,-200,1950,50,20,1,4,2,2,1,-50,0
P1837,1837,86,1-5 years,50,Liability-Only,-200,2136,50,4,1,4,0,3,12,50,50
P1838,1838,86,>5 years,0,Liability-Only,-200,1986,100,9,1,4,2,1,6,-50,50
P1839,1839,0,1-5 years,50,Full Coverage,0,2050,100,6,1,8,2,2,9,-50,0
P1840,1840,86,<1 year,100,Liability-Only,-200,2136,50,28,1,2,1,2,5,-50,100
P1841,1841,0,1-5 years,50,Full Coverage,0,2200,50,16,1,8,1,3,1,-50,100
P1842,1842,0,1-5 years,50,Full Coverage,0,2150,0,26,1,5,1,2,3,-50,0
P1843,1843,0,1-5 years,50,Full Coverage,0,2350,0,30,1,4,4,2,7,50,100
P1844,1844,0,1-5 years,50,Full Coverage,0,2250,50,10,1,8,6,1,4,-50,50
P1845,1845,86,>5 years,0,Liability-Only,-200,2236,50,27,1,9,5,2,7,50,100
P1846,1846,86,<1 year,100,Liability-Only,-200,2036,100,22,0,3,0,3,99,-50,50
P1847,1847,86,1-5 years,50,Liability-Only,-200,2186,0,29,1,6,2,2,11,-50,100
P1848,1848,86,>5 years,0,Liability-Only,-200,2136,0,17,1,7,1,1,13,50,0
P1849,1849,86,>5 years,0,Full Coverage,0,2236,50,7,1,5,1,1,2,-50,100
P1850,1850,86,<1 year,100,Full Coverage,0,2486,0,8,0,5,1,3,99,-50,0
P1851,1851,0,1-5 years,50,Full Coverage,0,2400,0,2,1,6,2,3,13,50,100
P1852,1852,86,<1 year,100,Full Coverage,0,2336,0,4,1,3,3,3,7,-50,0
P1853,1853,0,1-5 years,50,Full Coverage,0,2400,0,21,1,5,3,2,4,50,100
P1854,1854,0,<1 year,100,Liability-Only,-200,2100,50,23,1,3,2,2,4,-50,100
P1855,1855,0,>5 years,0,Liability-Only,-200,2100,0,19,1,7,0,1,7,50,100
P1856,1856,86,<1 year,100,Full Coverage,0,2336,0,16,0,9,2,2,99,-50,50
P1857,1857,86,1-5 years,50,Liability-Only,-200,2286,50,24,0,6,2,2,99,-50,100
P1858,1858,86,1-5 years,50,Full Coverage,0,2336,0,2,0,6,3,2,99,-50,100
P1859,1859,86,>5 years,0,Full Coverage,0,2186,50,25,1,3,2,3,3,-50,50
P1860,1860,86,1-5 years,50,Full Coverage,0,2336,0,11,0,7,3,2,99,-50,100
P1861,1861,0,1-5 years,50,Liability-Only,-200,1900,150,5,1,7,0,3,10,-50,100
P1862,1862,86,1-5 years,50,Full Coverage,0,2236,0,20,0,5,0,3,99,-50,0
P1863,1863,0,<1 year,100,Liability-Only,-200,2100,50,28,0,1,0,1,99,-50,100
P1864,1864,0,1-5 years,50,Liability-Only,-200,2000,50,14,1,2,1,1,10,-50,50
P1865,1865,86,1-5 years,50,Liability-Only,-200,2286,50,21,0,5,3,3,99,-50,100
P1866,1866,86,1-5 years,50,Liability-Only,-200,2036,0,26,0,3,1,3,99,-50,0
P1867,1867,0,<1 year,100,Full Coverage,0,2200,100,12,1,7,4,1,12,50,0
P1868,1868,86,>5 years,0,Full Coverage,0,2236,50,20,0,1,1,1,99,-50,100
P1869,1869,0,1-5 years,50,Full Coverage,0,2200,0,6,0,3,3,3,99,-50,0
P1870,1870,86,>5 years,0,Liability-Only,-200,2186,0,15,1,8,2,3,4,50,100
P1871,1871,0,1-5 years,50,Full Coverage,0,2250,0,10,0,7,0,1,99,-50,100
P1872,1872,86,1-5 years,50,Liability-Only,-200,2136,100,21,0,5,0,1,99,50,100
P1873,1873,86,1-5 years,50,Liability-Only,-200,2036,50,16,1,5,2,1,13,-50,50
P1874,1874,0,<1 year,100,Full Coverage,0,2350,0,29,0,2,4,1,99,50,0
P1875,1875,86,>5 years,0,Full Coverage,0,2186,50,11,1,8,1,3,13,-50,50
P1876,1876,86,>5 years,0,Full Coverage,0,2236,0,16,1,5,2,1,5,-50,50
P1877,1877,86,1-5 years,50,Full Coverage,0,2386,0,20,1,3,3,1,11,50,0
P1878,1878,86,<1 year,100,Full Coverage,0,2386,0,30,0,4,0,3,99,-50,0
